SL NO,Sanskrit,Hindi,English,Sentiment_Polarity,Sentiment_Label
16,अनन्तविजयं राजा कुन्ती पुत्रो युधिष्ठिरः । नकुलः सहदेवश्च सुघोषमणिपुष्पकौ ।।,कुन्ती पुत्र राजा युधिष्ठिर ने अनन्त विजय नामक और नकुल तथा सहदेव ने सुघोष और मणिपुष्पक नामक शंख बजाये ।। ,"King Yudhisthira, son of Kunti, blew his conch Anantavijaya; while Nakula and Sahadeva blew theirs, known as Sughosa and Manipuspaka respectively.",0.0,Calmness
17,काश्यश्च परमेष्वासः शिखण्डी च महारथः । धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजितः ।। ,"श्रेष्ठ धनुष वाले काशिराज और महारथी शिखण्डी एवं धृष्टद्युम्न तथा राजा विराट और अजेय सात्यकि,","And the excellent archer, the King of Kasi and Sikhandi the Maharathi (great car-warrior) Dhrstadyumna and Virata; and invincible Satyaki, ",1.0,Joy
18,द्रुपदो द्रौपदेयाश्च सर्वशः पृथिवीपते । सौभद्रश्च महाबाहुः शंखान्दध्मुः पृथक्पृथक् ।।," राजा द्रुपद एवं द्रौपदी के पाँचों पुत्र और बड़ी भुजावाले सुभद्रा पुत्र अभिमन्यु - इन सभी ने, हे राजन् ! सब ओर से अलग-अलग शंख बजाये ।।","Drupada as well as the five sons of Draupadi, and the mighty-armed Abhimanyu, son of Subhadra, all of them, O Lord of the earth, severally blew their respective conchs from all sides: ",0.0,Calmness
19,स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् । नभश्च पृथिवीं चैव तुमुलो व्यनुनादयन् ।।,और उस भयानक शब्द ने आकाश और पृथ्वी को भी गुँजाते हुए धार्तराष्ट्रों के यानी आपके पक्ष वालों के हृदय विदीर्ण कर दिये ।।,"And the terrible sound, echoing through heaven and earth, rent the hearts of Dhritarastra's  sons",-1.0,Disgust
20,अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वजः । प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डवः हृषीकेशं तदा वाक्यमिदमाह महीपते ।,"हे राजन् ! इसके बाद कपिध्वज अर्जुन ने मोर्चा बाँधकर डटे हुए धृतराष्ट्र-सम्बन्धियों को देखकर, उस शस्त्र चलने की तैयारी के समय धनुष उठाकर हृषीकेश श्रीकृष्ण महाराज से यह वचन कहा- हे अच्युत ! ","Now, O lord of the earth, seeing your sons arrayed against him, and when missiles were ready to be hurled.",0.0,Calmness
21,अर्जुन उवाच सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत ।।,मेरे रथ को दोनों सेनाओं के बीच में खड़ा कीजिये ।।,"Arjuna, son of Pandu, took up his bow and then addressed the following words to Sri Krsna; Krsna, place my chariot between the two armies",0.0,Calmness
22,यावदेतान्त्रिरीक्षेऽहं योद्धकामानवस्थितान् । कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे ।। ,"और जब तक कि मैं युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इन विपक्षी योद्धाओं को भली प्रकार देख लूँ कि इस युद्ध रूप व्यापार में मुझे किन-किन के साथ युद्ध करना योग्य है, तब तक उसे खड़ा रखिये ।। ","And keep it there till I have carefully observed these warriors drawn up for battle, and have seen with whom I have to engage in this fight",0.14166666666666666,Interest
23,योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागताः । धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षवः ।। ,"दुर्बुद्धि दुर्योधन का युद्ध में हित चाहने वाले जो-जो ये राजा लोग इस सेना में आये हैं, इन युद्ध करने वालों को मैं देखूँगा ","I shall scan the well-wishers in this war of evil-minded Duryodhana, whoever have assembled on this side and are ready for the fight. ",0.0,Calmness
24,एवमुक्तो हृषीकेशो गुडाकेशेन भारत । सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् ।।,हे धृतराष्ट्र ! अर्जुन द्वारा इस प्रकार कहे हुए महाराज श्रीकृष्ण चन्द्र ने दोनों सेनाओं के बीच में भीष्म और द्रोणाचार्य के सामने तथा सम्पूर्ण राजाओं के सामने उत्तम रथ को खड़ा करके इस प्रकार कहा कि हे पार्थ ! ,"Sañjaya said: O king, thus addressed by Arjuna, Sri Krsna placed the magnificent chariot between the two armies in front of Bhisma, Drona and all the kings and said, ",0.5,Enjoyment
25, भीष्मद्रोणप्रमुखतः सर्वेषां च महीक्षिताम् । उवाच पार्थ पश्यैतान् समवेतान् कुरूनिति ।।,युद्ध के लिये जुटे हुए इन कौरवों को देख ।।,"Arjuna, behold these Kauravas assembled here. ",0.0,Calmness
26,"
तत्रापश्यत्स्थितान् पार्थः पितृनथ पितामहान् । आचार्यान्मातुलान् भ्रातृन् पुत्रान् पौत्रान् सखींस्तथा ।।  श्वशुरान् सुहृदश्चैव सेनयोरुभयोरपि ।","इसके बाद पृथापुत्र अर्जुन ने उन दोनों ही सेनाओं में स्थित ताऊ-चाचों को, दादों परदादों को, गुरुओं को, मामाओं को, भाइयों को, पुत्रों को, पौत्रों को तथा मित्रों को, ससुरों को और सुहृदों को भी देखा ।।","Now Arjuna saw stationed there in both the armies his uncles, grand-uncles and teachers, even great grand-uncles, maternal uncles, brothers and cousins, sons and nephews, and grand-nephews, even so friends, fathers-in-law and well-wishers as well.",0.0,Calmness
27,"
तान् समीक्ष्य स कौन्तेयः सर्वान् बन्धूनवस्थितान् 
कृपया परयाविष्टो विषीदन्निदमब्रवीत् ।",उन उपस्थित सम्पूर्ण बन्धुओं को देखकर वह कुन्ती पुत्र अर्जुन अत्यन्त करुणा से युक्त होकर शोक करते हुए यह बचन बोले ।। ,"Seeing all those relations present there, Arjuna was filled with deep compassion, and uttered these words in sadness. ",0.26666666666666666,Empathy
28,दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् ।। ,अर्जुन बोले - हे कृष्ण ! युद्ध क्षेत्र में डटे हुए युद्ध के अभिलाषी इस स्वजन समुदाय को देखकर मेरे अंग शिथिल हुए जा रहे हैं और मुख सूखा जा रहा है तथा मेरे शरीर में कम्प एवं रोमाञ्च हो रहा है ।।,"Arjuna said: Krsna, at the sight of these kinsmen arrayed for battle my limbs give way, and my mouth is parching; nay, ",-0.1,Calmness
29, सीदन्ति मम गात्राणि मुखं च परिशुष्यति । वेपथुश्च शरीरे मे रोमहर्षश्च जायते ।। २६।।,  वेंका उत्तरार्ध और ।।,a shiver runs through my body and hair stand upright.,0.0,Calmness
30,गाण्डीवं संसते हस्तात्त्वक्चैव परिदह्यते । न च शक्नोम्यवस्थातुं भ्रमतीव च मे मनः ।।,"हाथ से गाण्डीव धनुष गिर रहा है और त्वचा भी बहुत जल रही है तथा मेरा मन भ्रमित-सा हो रहा है, इसलिये मैं खड़ा रहने को भी समर्थ नहीं हूँ ।।","The bow, Gandiva, slips from my hand and my skin too burns all over; my brain is whirling, as it were, and I can stand no longer. ",-0.325,Sadness
31,"प्रसंग - अपनी विषादयुक्त स्थितिका वर्णन करके अब अर्जुन अपने विचारों के अनुसार युद्ध का अनौचित्य सिद्ध करते हैं-
निमित्तानि च पश्यामि विपरीतानि केशव । न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे ।। ",हे केशव ! मैं लक्षणों को भी विपरीत ही देख रहा हूँ तथा युद्ध में स्वजन-समुदाय को मारकर कल्याण भी नहीं देखता ।।,"And, Kesava, I see such omens of evil, nor do I see any good in killing my kinsmen in battle. ",0.0,Calmness
32,"प्रसंग - अर्जुन ने यह कहा कि स्वजनों को मारने से किसी प्रकार का भी हित होने की सम्भावना नहीं है, अब फिर वे उसी की पुष्टि करते हैं-
न काङ्क्ष विजयं कृष्ण न च राज्यं सुखानि च । किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा ।।",हे कृष्ण ! मैं न तो विजय चाहता हूँ और न राज्य तथा सुखों को ही। हे गोविन्द ! हमें ऐसे राज्य से क्या प्रयोजन है अथवा ऐसे भोगों से और जीवन से भी क्या लाभ है ? ।।,"Krsna, I do not covet victory, nor kingdom nor pleasures. Govinda, of what use will kingdom, or luxuries, or even life be to us!",0.0,Calmness
33,"
येषामर्थे काङ्क्षितं नो राज्यं भोगाः सुखानि च । त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च ।।","हमें जिनके लिये राज्य, भोग और सुखादि अभीष्ट हैं, वे ही ये सब धन और जीवन की आशाको त्याग
","Those very persons for whose sake we covet the throne, luxúries and pleasures, -teachers, uncles, sons and nephews and",0.0,Calmness
34, आचार्याः पितरः पुत्रास्तथैव च पितामहाः । मातुलाः श्वशुराः पौत्राः श्यालाः सम्बन्धिनस्तथा ।।,"कर युद्ध में खड़े हैं। गुरुजन, ताऊ-चाचे, लड़के और उसी प्रकार दादे, मामे, ससुर, पौत्र, साले तथा और भी सम्बन्धी लोग हैं ।। "," even so grand- uncles and great grand-uncles, maternal uncles, fathers-in-law, grand-nephews, brothers-in- law and other relations, are here arrayed on the battle-field risking their lives and wealth. ",-0.0625,Calmness
35,एतान्त्र हन्तुमिच्छामि घ्नतोऽपि मधुसूदन । अपि त्रैलोक्यराज्यस्य हेतोः किं नु महीकृते ।। ,हे मधुसूदन ! मुझे मारने पर भी अथवा तीनों लोकों के राज्य के लिये भी मैं इन सबको मारना नहीं चाहता; फिर पृथ्वी के लिये तो कहना ही क्या है ? ।।,"O Slayer of Madhu, I do not want to kill them, though they should slay me, even for the throne of the three worlds; how much the less from earthly lordship!",0.0,Calmness
36,"
निहत्य धार्तराष्ट्रन्नः का प्रीतिः स्याज्जनार्दन । पापमेवाश्रयेदस्मान् हत्वैतानाततायिनः ।। ",हे जनार्दन ! धृतराष्ट्र के पुत्रों को मारकर हमें क्या प्रसन्नता होगी ? इन आततायियों को मारकर तो हमें पाप ही लगेगा ।। ,"Krsna, how can we hope to be happy slay- ing the sons of Dhrtarastra; killing these des- peradoes sin will surely take hold of us. ",0.8,Happiness
37,"
तस्मान्त्रार्हा वयं हन्तुं धार्तराष्ट्रान् स्वबान्धवान् । स्वजनं हि कथं हत्वा सुखिनः स्याम माधव ।।",अतएव हे माधव ! अपने ही बान्धव धृतराष्ट्र के पुत्रों को मारने के लिये हम योग्य नहीं हैं; क्योंकि अपने ही कुटुम्ब को मारकर हम कैसे सुखी होंगे ? ।।,"Therefore, Krsna, it does not behove us to kill our relations, the sons of Dhritarastra. For how can we be happy after killing our own kinsmen?",0.6666666666666666,Happiness
38,"
यद्यप्येते न पश्यन्ति लोभोपहतचेतसः । कुलक्षयकृतं दोषं मित्रदोहे च पातकम् ।। ","यद्यपि लोभ से भ्रष्टचित्त हुए ये लोग कुल के नाश से उत्पन्न दोष को और मित्रों से विरोध करने में पाप को नहीं देखते, तो भी हे जनार्दन ! ","Even if these people, with minds blinded by greed; perceive no evil in destroying their own race and no sin in treason to friends, why should not we,",-0.625,Anger
39,कथं न ज्ञेयमस्माभिः पापादस्मान्निवर्तितुम् । कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन ।। ३६ ।।,कुल के नाश से उत्पन्न दोष को जानने वाले हम लोगों को इस पाप से हटने के लिये क्यों नहीं विचार करना चाहिए ।।," O Krsna, who see clearly the sin accruing from the destruction of one's family think of turning away from this crime. ",0.0,Calmness
40,कुलक्षये प्रणश्यन्ति कुलधर्माः सनातनाः । धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत ।।,"कुल के नाश से सनातन कुलधर्म नष्ट हो जाते हैं, धर्म के नाश हो जाने पर सम्पूर्ण कुल में पाप भी बहुत फैल जाता है ।।","Age-long family traditions disappear with the destruction of a family; and virtue having been lost, vice takes hold of the entire race.",-0.0625,Calmness
41,"
अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रियः । स्त्रीषु दुष्टासु वाष्र्णेय जायते वर्णसंकरः ।।",हे कृष्ण ! पाप के अधिक बढ़ जाने से कुल की स्त्रियाँ अत्यन्त दूषित हो जाती हैं और हे वाष्र्णेय ! स्त्रियों के दूषित हो जाने पर वर्णसंकर उत्पन्न होता है ।। ,"With the preponderance of vice, Krsna, the women of the family become corrupt; and with the corruption of women, O descendant of Vrsni, there ensues an intermixture of castes.",0.2,Interest
42,"
संकरो नरकायैव कुलघ्नानां कुलस्य च। पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रियाः ।।",वर्णसंकर कुलघातियों को और कुल को नरक में ले जाने के लिये ही होता है। लुप्त हुई पिण्ड और जल की क्रिया वाले अर्थात् श्राद्ध और तर्पण से वञ्चित इनके पितर लोग भी अधोगति को प्राप्त होते हैं ।। ,"Admixture of blood damns the destroyers of the race as well as the race itself. Deprived of the offerings of rice and water (Sraddha, Tarpana, etc.,) the manes of their race also fall. ",0.0,Calmness
43,"प्रसंग - वर्णसंकरकारक दोषों से क्या हानि होती है, अब उसे बतलाते हैं-
दोषैरेतैः कुलघ्नानां वर्णसंकरकारकैः । उत्साद्यन्ते जातिधर्माः कुलधर्माश्च शाश्वताः ।।",इन वर्णसंकरकारक दोषों से कुलघातियों के सनातन कुल-धर्म और जाति-धर्म नष्ट हो जाते हैं ।। ,"Through these evils bringing about an intermixture of castes, the age-long caste-
traditions and family customs of the killers of kinsmen get extinct. ",0.0,Calmness
44,उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन । नरकेऽनियतं वासो भवतीत्यनुशुश्रुम ।।,"हे जनार्दन ! जिनका कुल-धर्म नष्ट हो गया है, ऐसे मनुष्यों का अनिश्चित काल तक नरक में वास होता है, ऐसा हम सुनते आये हैं ।।","Krisna, we hear that men who have lost their family traditions dwell in hell for an indefinite period of time. ",0.0,Calmness
45,अहो वत महत्पापं कर्तुं व्यवसिता वयम् । यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः ।।,"हा ! शोक ! हम लोग बुद्धिमान् होकर भी महान् पाप करने को तैयार हो गये हैं, जो राज्य और सुख के लोभ से स्वजनों को मारने के लिये उद्यत हो गये हैं ।।","Oh what a pity! Though possessed of intelligence we have set our mind on the commission of a great sin in that due to lust
for throne and enjoyment we are intent on killing own kinsmen. ",0.7666666666666666,Happiness
46,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः । धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् ।। ,यदि मुझ शस्त्ररहित एवं सामना न करने वाले को शस्त्र हाथ में लिये हुए धृतराष्ट्र के पुत्र रण में मार डालें तो वह मारना भी मेरे लिये अधिक कल्याणकारक होगा ।। ,"It would be better for me if the sons of Dhrtarastra, armed with weapons, killed me in battle while I was unarmed and unresisting. ",0.5,Enjoyment
47,"प्रसंग - भगवान् श्रीकृष्ण से इतनी बात कहने के बाद अर्जुन ने क्या किया, इस जिज्ञासा पर अर्जुन की स्थिति बतलाते हुए सञ्जय कहते हैं-
सञ्जय उवाच
एवमुक्त्वार्जुनः संख्ये रथोपस्थ उपाविशत् । विसृज्य सशरं चापं शोकसंविग्नमानसः ।",सञ्जय बोले - रणभूमि में शोक से उद्विग्न मन वाला अर्जुन इस प्रकार कहकर वाणसहित धनुष को त्यागकर रथ के पिछले भाग में बैठ गया ।। ,"Sañjaya said: Arjuna, whose mind was agitated by grief on the battle-field, having spoken, thus, and having thrown aside his bow and arrows, sank into the hinder part of his chariot. ",0.0,Calmness
48,"सञ्जय उवाच
तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम् । विषीदन्तमिदं वाक्यमुवाच मधुसूदनः ।।",सञ्जय बोले- उस प्रकार करुणा से व्याप्त और आँसुओं से पूर्ण तथा व्याकुल नेत्रों वाले शोकयुक्त उस अर्जुन के प्रति भगवान् मधुसूदन ने यह वचन कहा ।। ,"Sañjaya said: Sri Krsna then addressed the following words to Arjuna, who was as mentioned before overwhelmed with pity, whose eyes were filled with tears and agitated, and who was full of sorrow.",0.024999999999999994,Interest
49,"श्री भगवानुवाच
कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम् । अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन","श्रीभगवान् बोले- हे अर्जुन ! तुझे इस असमय में यह मोह किस हेतु से प्राप्त हुआ ? क्योंकि न तो यह श्रेष्ठ पुरुषों द्वारा आचरित है, न स्वर्ग को देने वाला है और न कीर्तिको करने वाला ही है ।।","Sri Bhagavan said: Arjuna, how has this infatuation overtaken you at this odd hour? It is shunned by noble souls; neither will it bring heaven, nor fame, to you.",0.7,Happiness
50,क्लैब्यं मा स्म गमः पार्थ नैतत्त्वय्युपपद्यते । क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप ।।,"इसलिये हे अर्जुन ! नपुंसकता को मत प्राप्त हो, तुझमें यह उचित नहीं जान पड़ती। हे परन्तप ! हृदय की तुच्छ दुर्बलता को त्याग कर युद्ध के लिये खड़ा हो जा ।।","Yield not to unmanliness, Arjuna; ill does it become you. Shaking off this paltry faint-heartedness stand up, O scorcher of enemies.",0.5,Enjoyment
51,"अर्जुन अवाच
कथं भीष्ममहं संख्ये द्रोणं च मधुसूदन । इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन ।",अर्जुन बोले- हे मधुसूदन ! मैं रणभूमि में किस प्रकार वाणों से भीष्म पितामह और द्रोणाचार्य के विरुद्ध लडूंगा ? क्योंकि हे अरिसूदन ! वे दोनों ही पूजनीय हैं ।। ,"Arjuna said: How, Krsna, shall I fight Bhisma and Drona with arrows on the battle- field? They are worthy of deepest reverence, O destroyer of foes.",0.0,Calmness
52,गुरूनहत्वा हि महानुभावाञ्छ्रेयो भोक्तुं भैक्ष्यमपीह लोके । हत्वार्थकामांस्तु गुरुनिहैव भुञ्जीय भोगान् रुधिरप्रदिग्धान् ।। ,इसलिये इन महानुभाव गुरुजनों को न मारकर मैं इस लोक में भिक्षा का अन्न भी खाना कल्याणकारक समझता हूँ। क्योंकि गुरुजनों को मारकर भी इस लोक में रुधिर से सने हुए अर्थ और कामरूप भोगों को ही तो भोगूँगा ।। ,"It is better to live on alms in this world without slaying these noble elders, because even after killing them we shall after all enjoy only blood-stained pleasures in the form of wealth and sense-enjoyments.",0.6000000000000001,Happiness
53,"
न चैतद्विद्मः कतरन्नो गरीयो यद्वा जयेम यदि वा नो जयेयुः । यानेव हत्वा न जिजीविषामस्तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः ।। ","हम यह भी नहीं जानते कि हमारे लिये युद्ध करना और न करना - इन दोनों में से कौन-सा श्रेष्ठ है, अथवा यह भी नहीं जानते कि उन्हें हम जीतेंगे या हमको वे जीतेंगे। और जिन को मारकर हम जीना भी नहीं चाहते, वे ही हमारे आत्मीय धृतराष्ट्र के पुत्र हमारे मुकाबले में खड़े हैं ।।  ","Wo do not even know which is preferable for us to fight or not to fight; nor do we know whether we shall win or whether they will conquer us. Those very sons of Dhrtarastra, killing whom we do not even wish to live, stand in the enemy ranks.",0.609090909090909,Happiness
54,"
कार्पण्यदोषोपहतस्वभावः पृच्छामि त्वां धर्मसंमूढचेताः । यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम् ।। ","इसलिये कायरता रूप दोष से उपहत हुए स्वभाव वाला तथा धर्म के विषय में मोहित चित्त हुआ मैं आपसे पूछता हूँ कि जो साधन निश्चित कल्याण कारक हो, वह मेरे लिये कहिये; क्योंकि मैं आपका शिष्य हूँ, इसलिये आपके शरण हुए मुझको शिक्षा दीजिये ।। ","With my very being tainted by the vice of faint-heartedness and my mind puzzled with regard to duty, I am asking you. Tell me that which is decidedly good; I am Your disciple. Pray instruct me, who have put myself into  Your hands.",0.0,Calmness
55,"
न हि प्रपश्यामि ममापनुद्याद्यच्छोकमुच्छोषणमिन्द्रियाणाम् ।
अवाप्य भूमावसपत्नमृद्धं राज्यं सुराणामपि चाधिपत्यम् ।। ","क्योंकि भूमि में निष्कण्टक, धन-धान्य सम्पन्न राज्य को और देवताओं के स्वामीपने को प्राप्त होकर भी मैं उस उपाय को नहीं देखता हूँ, जो मेरी इन्द्रियों के सुखाने वाले शोक को दूर कर सके ।। ","For even on obtaining undisputed sovereignty and an affluent kingdom on this earth and lordship over the gods, I do not see any means that can drive away the grief which is drying up my senses.",0.0,Calmness
